x,y,yaw,s,kappa,v_ref
27.0682,-11.1722,-0.07354,0.0000,0.04138,1.500
27.2827,-11.1871,-0.06507,0.2500,0.03739,1.500
27.4998,-11.2004,-0.05735,0.5000,0.03400,1.500
27.7195,-11.2122,-0.05031,0.7500,0.03058,1.500
27.9416,-11.2227,-0.04393,1.0000,0.02743,1.500
28.1661,-11.2319,-0.03815,1.2500,0.02452,1.500
28.3928,-11.2399,-0.03294,1.5000,0.02184,1.500
28.6218,-11.2469,-0.02827,1.7500,0.01936,1.500
28.8529,-11.2530,-0.02410,2.0000,0.01707,1.500
29.0861,-11.2582,-0.02041,2.2500,0.01494,1.500
29.3212,-11.2626,-0.01717,2.5000,0.01297,1.500
29.5583,-11.2663,-0.01434,2.7500,0.01115,1.500
29.7972,-11.2694,-0.01191,3.0000,0.00946,1.500
30.0379,-11.2720,-0.00986,3.2500,0.00789,1.500
30.2802,-11.2742,-0.00815,3.5000,0.00643,1.500
30.5241,-11.2760,-0.00677,3.7500,0.00508,1.500
30.7696,-11.2776,-0.00570,4.0000,0.00383,1.500
31.0166,-11.2789,-0.00492,4.2500,0.00266,1.500
31.2650,-11.2800,-0.00442,4.5000,0.00158,1.500
31.5147,-11.2811,-0.00417,4.7500,0.00058,1.500
31.7657,-11.2821,-0.00416,5.0000,-0.00035,1.500
32.0179,-11.2832,-0.00438,5.2500,-0.00122,1.500
32.2712,-11.2844,-0.00480,5.5000,-0.00201,1.500
32.5256,-11.2856,-0.00543,5.7500,-0.00275,1.500
32.7810,-11.2871,-0.00623,6.0000,-0.00343,1.500
33.0374,-11.2889,-0.00720,6.2500,-0.00405,1.500
33.2946,-11.2908,-0.00833,6.5000,-0.00462,1.500
33.5526,-11.2932,-0.00961,6.7500,-0.00515,1.500
33.8115,-11.2958,-0.01102,7.0000,-0.00562,1.500
34.0710,-11.2989,-0.01254,7.2500,-0.00605,1.500
34.3311,-11.3024,-0.01418,7.5000,-0.00643,1.500
34.5919,-11.3063,-0.01591,7.7500,-0.00677,1.500
34.8531,-11.3107,-0.01773,8.0000,-0.00707,1.500
35.1149,-11.3156,-0.01963,8.2500,-0.00733,1.500
35.3771,-11.3210,-0.02159,8.5000,-0.00754,1.500
35.6396,-11.3269,-0.02360,8.7500,-0.00772,1.500
35.9024,-11.3334,-0.02566,9.0000,-0.00786,1.500
36.1655,-11.3404,-0.02775,9.2500,-0.00796,1.500
36.4288,-11.3480,-0.02987,9.5000,-0.00803,1.500
36.6923,-11.3561,-0.03200,9.7500,-0.00805,1.500
36.9558,-11.3649,-0.03413,10.0000,-0.00804,1.500
37.2194,-11.3741,-0.03626,10.2500,-0.00799,1.500
37.4830,-11.3840,-0.03837,10.5000,-0.00791,1.500
37.7466,-11.3944,-0.04045,10.7500,-0.00778,1.500
38.0101,-11.4053,-0.04249,11.0000,-0.00762,1.500
38.2735,-11.4168,-0.04448,11.2500,-0.00742,1.500
38.5366,-11.4287,-0.04641,11.5000,-0.00717,1.500
38.7996,-11.4412,-0.04828,11.7500,-0.00689,1.500
39.0623,-11.4541,-0.05006,12.0000,-0.00657,1.500
39.3247,-11.4675,-0.05175,12.2500,-0.00621,1.500
39.5867,-11.4813,-0.05334,12.5000,-0.00580,1.500
39.8484,-11.4954,-0.05481,12.7500,-0.00535,1.500
40.1096,-11.5100,-0.05616,13.0000,-0.00486,1.500
40.3704,-11.5248,-0.05737,13.2500,-0.00432,1.500
40.6307,-11.5399,-0.05844,13.5000,-0.00373,1.500
40.8904,-11.5552,-0.05934,13.7500,-0.00309,1.500
41.1495,-11.5707,-0.06007,14.0000,-0.00241,1.500
41.4081,-11.5863,-0.06061,14.2500,-0.00167,1.500
41.6659,-11.6020,-0.06095,14.5000,-0.00087,1.500
41.9231,-11.6177,-0.06108,14.7500,-0.00003,1.500
42.1796,-11.6334,-0.06099,15.0000,0.00088,1.500
42.4354,-11.6490,-0.06066,15.2500,0.00185,1.500
42.6904,-11.6644,-0.06007,15.5000,0.00288,1.500
42.9446,-11.6796,-0.05922,15.7500,0.00397,1.500
43.1979,-11.6945,-0.05808,16.0000,0.00514,1.500
43.4504,-11.7090,-0.05664,16.2500,0.00637,1.500
43.7020,-11.7230,-0.05489,16.5000,0.00768,1.500
43.9527,-11.7365,-0.05281,16.7500,0.00906,1.500
44.2024,-11.7494,-0.05039,17.0000,0.01053,1.500
44.4512,-11.7616,-0.04760,17.2500,0.01207,1.500
44.6990,-11.7731,-0.04442,17.5000,0.01370,1.500
44.9458,-11.7836,-0.04085,17.7500,0.01543,1.500
45.1915,-11.7932,-0.03686,18.0000,0.01724,1.500
45.4362,-11.8017,-0.03243,18.2500,0.01915,1.500
45.6798,-11.8090,-0.02754,18.5000,0.02116,1.500
45.9223,-11.8150,-0.02218,18.7500,0.02328,1.500
46.1637,-11.8197,-0.01632,19.0000,0.02550,1.500
46.4040,-11.8228,-0.00994,19.2500,0.02783,1.500
46.6432,-11.8244,-0.00302,19.5000,0.03027,1.500
46.8811,-11.8242,0.00445,19.7500,0.03283,1.500
47.1179,-11.8222,0.01251,20.0000,0.03550,1.500
47.3535,-11.8183,0.02118,20.2500,0.03829,1.500
47.5879,-11.8122,0.03047,20.5000,0.04120,1.500
47.8211,-11.8040,0.04040,20.7500,0.04422,1.500
48.0531,-11.7934,0.05100,21.0000,0.04736,1.500
48.2838,-11.7803,0.06230,21.2500,0.05061,1.500
48.5132,-11.7646,0.07430,21.5000,0.05398,1.500
48.7414,-11.7462,0.08703,21.7500,0.05744,1.500
48.9684,-11.7249,0.10050,22.0000,0.06099,1.500
49.1940,-11.7005,0.11474,22.2500,0.06463,1.500
49.4184,-11.6730,0.12975,22.5000,0.06834,1.500
49.6415,-11.6421,0.14556,22.7500,0.07210,1.500
49.8633,-11.6077,0.16216,23.0000,0.07589,1.500
50.0838,-11.5697,0.17957,23.2500,0.07970,1.500
